net,length_um
_049_,145.46
clknet_2_0__leaf_scan_clk,111.74
clknet_2_1__leaf_scan_clk,109.78
net10,106.19
net7,99.38
net2,97.44
clknet_2_3__leaf_scan_clk,95.08
net5,90.41
net6,88.97
net8,88.37
clknet_2_2__leaf_scan_clk,78.9
_051_,75.98
_072_,69.19
net9,68.45
_052_,67.72
_091_,64.42
net1,64.36
GTC.capture_en,63.86
clknet_0_scan_clk,57.07
_108_,54.42
GTC.mode_sel\[0\],52.68
net3,50.98
scan_clk,41.73
GTC.tier_sel\[2\],40.62
_102_,34.98
_062_,33.4
GTC.mode_sel\[1\],31.8
_066_,30.95
_084_,30.7
_061_,27.8
_083_,27.7
_050_,27.68
_081_,26.44
TIER1.MSS.scan_chain\[3\],25.32
GTC.tier_sel\[0\],24.67
_119_,24.22
GTC.cluster_sel\[0\],24.12
_065_,23.92
_063_,23.55
net18,23.06
TIER2.MSS.scan_chain\[7\],22.3
net58,21.54
net4,21.36
net56,20.6
GTC.col_addr\[0\],20.2
net53,19.84
TIER1.MSS.scan_chain\[7\],18.9
TIER2.MSS.scan_chain\[6\],18.82
TIER3.MSS.scan_chain\[7\],18.48
TIER1.LC.scan_out,17.9
TIER3.MSS.scan_chain\[4\],17.9
GTC.col_addr\[2\],17.74
net38,16.82
net44,16.78
net21,16.68
_077_,16.22
_090_,16.08
_057_,16.02
GTC.misr_t3,15.68
_055_,15.58
TIER1.MSS.scan_chain\[1\],15.42
net47,15.34
reset_n,15.16
TIER1.PRAS.scan_out,14.52
TIER3.LC.scan_out,13.68
net42,13.68
net31,13.56
TIER2.PRAS.scan_out,13.46
net48,13.42
net29,13.34
TIER2.LC.scan_out,13.08
net26,12.86
net52,12.78
_112_,12.72
_114_,12.64
GTC.misr_t2,12.6
_059_,12.42
_082_,12.4
scan_in,12.24
net43,12.1
GTC.misr_t1,12.04
_086_,12.04
net34,12
net37,11.98
GTC.shift_en,11.88
_111_,11.78
net45,11.74
TIER2.MSS.scan_chain\[3\],11.6
_070_,11.42
_025_,11.165
GTC.col_addr\[1\],11.14
_030_,11.14
_093_,11.12
_018_,10.9
_101_,10.58
_001_,10.44
TIER1.MSS.scan_chain\[5\],10.32
_056_,9.98
_067_,9.96
_054_,9.94
net40,9.86
_115_,9.84
TIER2.MSS.scan_chain\[4\],9.82
net16,9.48
GTC.cluster_sel\[1\],9.46
_035_,9.4
_000_,9.36
GTC.tier_sel\[1\],9.16
TIER1.MSS.scan_chain\[6\],9.06
TIER3.PRAS.scan_out,8.9
_103_,8.9
net57,8.9
test_enable,8.72
TIER2.MSS.scan_chain\[2\],8.56
_073_,8.52
_068_,8.44
net20,8.24
_007_,8.22
TIER1.MSS.scan_chain\[2\],8.1
TIER2.MSS.scan_chain\[5\],8.04
TIER1.MSS.scan_chain\[4\],7.68
GTC.col_addr\[3\],7.66
_095_,7.64
_098_,7.64
net32,7.59
_097_,7.56
net51,7.38
_085_,7.18
_089_,7.18
net30,7.1
net50,7.06
net46,7
net22,6.9
_039_,6.86
_029_,6.76
TIER3.MSS.scan_chain\[6\],6.72
net14,6.64
_042_,6.605
net61,6.6
_087_,6.48
_016_,6.3
net15,6.3
net39,6.3
TIER2.MSS.scan_chain\[0\],6.26
_106_,6.2
net17,6.18
_113_,6.16
_075_,6.14
_038_,6.105
_004_,6.02
_014_,5.96
_047_,5.84
TIER1.MSS.scan_chain\[0\],5.8
TIER3.MSS.scan_chain\[3\],5.8
_071_,5.8
fault_flag,5.75
_078_,5.74
_096_,5.68
_034_,5.6
net13,5.52
_043_,5.38
_048_,5.34
_094_,5.34
_104_,5.34
TIER1.tier_sel\[1\],5.22
net23,5.12
_015_,5.1
_017_,5.02
_023_,4.985
_117_,4.92
net35,4.9
net62,4.7
_031_,4.68
net24,4.66
_107_,4.6
net33,4.6
net41,4.46
TIER3.MSS.scan_chain\[1\],4.42
TIER3.MSS.scan_chain\[2\],4.42
TIER3.MSS.scan_chain\[5\],4.42
_109_,4.34
_060_,4.02
_009_,4
_116_,4
_046_,3.98
net27,3.88
net54,3.78
_036_,3.705
_079_,3.56
_105_,3.56
_012_,3.54
_100_,3.54
net60,3.54
_019_,3.2
_058_,3.2
_022_,3.08
_041_,3.08
_110_,3.08
net55,2.96
_024_,2.925
net59,2.86
net28,2.76
_011_,2.64
TIER2.MSS.scan_chain\[1\],2.62
_008_,2.62
_010_,2.62
_076_,2.62
_099_,2.62
_118_,2.62
_069_,2.52
_021_,2.465
_027_,2.465
net19,2.465
net11,2.3
_028_,2.28
_033_,2.18
_037_,2.18
_040_,2.18
_026_,2.16
_032_,2.16
_044_,2.16
_074_,2.16
_064_,2.06
_088_,2.06
_013_,2.04
_003_,1.845
_006_,1.84
_002_,1.82
_020_,1.82
TIER3.MSS.scan_chain\[0\],1.7
net12,1.38
net25,1.38
_005_,1.36
_053_,1.14
_092_,1.14
net49,1.02
_080_,0.8
TIER1.tier_sel\[0\],0.69
_045_,0.46
net36,0.46
